label,nsRmsInDb,nsRmsOutDb,nsReductionDb,spRmsInDb,spRmsOutDb,speechLevelDeltaDb,snrProxyInDb,snrProxyOutDb,snrProxyDeltaDb,speechBandEnergyIn,speechBandEnergyOut,hfEnergyIn,hfEnergyOut,hfEnergyRatioOutIn,speechBandFocusIn,speechBandFocusOut,speechBandFocusDelta,flatnessSpeechIn,flatnessSpeechOut,flatnessNoiseIn,flatnessNoiseOut,clipRateIn,clipRateOut,crestFactorInDb,crestFactorOutDb,noiseBandPowerIn,noiseBandPowerOut,noiseBandPowerInDb,noiseBandPowerOutDb,noiseBandReductionDb
raw -> bandpass,-239.9999762359695,-239.9999795287704,3.292800897725101e-06,-21.026393890064877,-21.123473118958515,-0.09707922889363729,218.97358234590465,218.8765064098119,-0.09707593609275023,3.823939561843872,3.818049669265747,3.463587706573068e-12,3.410941451162386e-12,0.7641703659456366,2.5226529342394746,2.575716844002803,0.05306390976332853,0.072394959628582,0.05597963184118271,0.5,0.5,0.0,0.0,27.507019684211585,27.454008534863917,4.869966326550556e-36,4.829838940783747e-36,-120.0,-120.0,0.0
raw -> wiener,-239.9999762359695,-239.99999635963985,2.012367033898954e-05,-21.026393890064877,-21.527059040813974,-0.5006651507490965,218.97358234590465,218.47293731882587,-0.5006450270787752,3.823939561843872,3.481647253036499,3.463587706573068e-12,2.6389042860619494e-12,0.5912069974957377,2.5226529342394746,2.5775194096026346,0.05486647536316003,0.072394959628582,0.0587315633893013,0.5,0.4999999403953552,0.0,0.0,27.507019684211585,27.857594456713098,4.869966326550556e-36,1.5273284018186855e-37,-120.0,-120.0,0.0
raw -> neural_ola,-239.9999762359695,-101.23682964231955,-138.76314659364996,-21.026393890064877,-22.962481866508003,-1.936087976443126,218.97358234590465,78.27434777581155,-140.6992345700931,3.823939561843872,2.50227427482605,3.463587706573068e-12,2.2066935343900695e-05,4943766.493353538,2.5226529342394746,2.5780881766985755,0.05543524245910092,0.072394959628582,0.14040400087833405,0.5,0.4319673180580139,0.0,0.0,27.507019684211585,29.396621545264434,4.869966326550556e-36,2.045194576258747e-12,-120.0,-115.16384952392123,-4.836150476078771
raw -> neural_lp,-239.9999762359695,-101.56654660093906,-138.43342963503045,-21.026393890064877,-22.962557197163566,-1.9361633070986883,218.97358234590465,78.6039894037755,-140.36959294212915,3.823939561843872,2.5022552013397217,3.463587706573068e-12,1.0850025091713178e-06,243078.5682946357,2.5226529342394746,2.5781019314024713,0.05544899716299678,0.072394959628582,0.008056549355387688,0.5,0.23829641938209534,0.0,0.0,27.507019684211585,29.336930208704924,4.869966326550556e-36,2.0344268273654365e-12,-120.0,-115.17923330691085,-4.820766693089155
raw -> vad_soft,-239.9999762359695,-125.46188996385006,-114.53808627211946,-21.026393890064877,-22.962557223816873,-1.9361633337519955,218.97358234590465,102.49933274003318,-116.47424960587146,3.823939561843872,2.5022552013397217,3.463587706573068e-12,1.0849819318536902e-06,243073.9582546902,2.5226529342394746,2.5781019314024713,0.05544899716299678,0.072394959628582,0.01189154852181673,0.5,0.2410721629858017,0.0,0.0,27.507019684211585,29.336930501005895,4.869966326550556e-36,1.04405549552796e-14,-120.0,-119.95489231296912,-0.045107687030878196
raw -> final,-239.9999762359695,-124.47825034155628,-115.52172589441324,-21.026393890064877,-21.978915854539565,-0.9525219644746876,218.97358234590465,102.49933448701671,-116.47424785888794,3.823939561843872,3.138307571411133,3.463587706573068e-12,1.3607760820377734e-06,304861.50860974414,2.5226529342394746,2.5780960618204056,0.05544312758093106,0.072394959628582,0.011920751072466373,0.5,0.24096649885177612,0.0,3.265330858996221e-08,27.507019684211585,29.336930280419764,4.869966326550556e-36,1.3094463666315827e-14,-120.0,-119.94350057960234,-0.05649942039765676
